,eclipse_day,duration,sunmars_km,earthmars_km,sunmarsearthangle_deg,solarconstantmars,year,dist_shift
0,1,4.166666666666667,241938908.363002,355756044.048925,19.5650758165222,522.263999026823,1,Distance_shift-1
1,1,3.75,241938908.363002,355756044.048925,19.5650758165222,522.263999026823,1,Distance_shift-1
2,1,3.15,241938908.363002,355756044.048925,19.5650758165222,522.263999026823,1,Distance_shift-1
3,1,2.8,241938908.363002,355756044.048925,19.5650758165222,522.263999026823,1,Distance_shift-1
4,2,1.7833333333333332,241800159.82512003,356303701.299971,19.390074964884697,522.863536732556,1,Distance_shift-1
5,2,0.5,241800159.82512003,356303701.299971,19.390074964884697,522.863536732556,1,Distance_shift-1
6,169,7.833333333333333,212273683.425493,349757256.168162,11.2603720037698,678.436510112653,1,Distance_shift-1
7,169,11.216666666666667,212273683.425493,349757256.168162,11.2603720037698,678.436510112653,1,Distance_shift-1
8,170,13.95,212132655.60993898,349342674.16368103,11.4322412535087,679.338872105923,1,Distance_shift-1
9,170,15.966666666666667,212132655.60993898,349342674.16368103,11.4322412535087,679.338872105923,1,Distance_shift-1
10,170,17.833333333333332,212132655.60993898,349342674.16368103,11.4322412535087,679.338872105923,1,Distance_shift-1
11,170,19.366666666666667,212132655.60993898,349342674.16368103,11.4322412535087,679.338872105923,1,Distance_shift-1
12,171,20.933333333333334,211993063.489705,348926955.285713,11.6037251055969,680.233821909078,1,Distance_shift-1
13,171,22.3,211993063.489705,348926955.285713,11.6037251055969,680.233821909078,1,Distance_shift-1
14,171,23.583333333333332,211993063.489705,348926955.285713,11.6037251055969,680.233821909078,1,Distance_shift-1
15,172,24.85,211854924.443803,348510161.308292,11.7748300126283,681.121197897393,1,Distance_shift-1
16,172,25.9,211854924.443803,348510161.308292,11.7748300126283,681.121197897393,1,Distance_shift-1
17,172,26.98333333333333,211854924.443803,348510161.308292,11.7748300126283,681.121197897393,1,Distance_shift-1
18,172,27.933333333333334,211854924.443803,348510161.308292,11.7748300126283,681.121197897393,1,Distance_shift-1
19,173,28.916666666666668,211718255.73391598,348092336.122825,11.9455627839154,682.000838627612,1,Distance_shift-1
20,173,29.833333333333332,211718255.73391598,348092336.122825,11.9455627839154,682.000838627612,1,Distance_shift-1
21,173,30.683333333333334,211718255.73391598,348092336.122825,11.9455627839154,682.000838627612,1,Distance_shift-1
22,174,31.55,211583074.500427,347673506.469234,12.1159296127171,682.872582894322,1,Distance_shift-1
23,174,32.31666666666667,211583074.500427,347673506.469234,12.1159296127171,682.872582894322,1,Distance_shift-1
24,174,33.083333333333336,211583074.500427,347673506.469234,12.1159296127171,682.872582894322,1,Distance_shift-1
25,174,33.8,211583074.500427,347673506.469234,12.1159296127171,682.872582894322,1,Distance_shift-1
26,175,34.55,211449397.758445,347253685.036472,12.2859352687744,683.736269787067,1,Distance_shift-1
27,175,35.2,211449397.758445,347253685.036472,12.2859352687744,683.736269787067,1,Distance_shift-1
28,175,35.85,211449397.758445,347253685.036472,12.2859352687744,683.736269787067,1,Distance_shift-1
29,176,36.5,211317242.393825,346832874.944004,12.4555826179715,684.591738748161,1,Distance_shift-1
30,176,37.1,211317242.393825,346832874.944004,12.4555826179715,684.591738748161,1,Distance_shift-1
31,176,37.7,211317242.393825,346832874.944004,12.4555826179715,684.591738748161,1,Distance_shift-1
32,177,38.25,211186625.159173,346411074.344157,12.6248724981777,685.438829631206,1,Distance_shift-1
33,177,38.85,211186625.159173,346411074.344157,12.6248724981777,685.438829631206,1,Distance_shift-1
34,177,39.35,211186625.159173,346411074.344157,12.6248724981777,685.438829631206,1,Distance_shift-1
35,177,39.86666666666667,211186625.159173,346411074.344157,12.6248724981777,685.438829631206,1,Distance_shift-1
36,178,40.36666666666667,211057562.669862,345988280.188316,12.793803866384803,686.2773827602321,1,Distance_shift-1
37,178,40.85,211057562.669862,345988280.188316,12.793803866384803,686.2773827602321,1,Distance_shift-1
38,178,41.333333333333336,211057562.669862,345988280.188316,12.793803866384803,686.2773827602321,1,Distance_shift-1
39,179,41.766666666666666,210930071.40004098,345564490.760782,12.962374086322699,687.107238989473,1,Distance_shift-1
40,179,42.25,210930071.40004098,345564490.760782,12.962374086322699,687.107238989473,1,Distance_shift-1
41,179,42.65,210930071.40004098,345564490.760782,12.962374086322699,687.107238989473,1,Distance_shift-1
42,179,43.06666666666666,210930071.40004098,345564490.760782,12.962374086322699,687.107238989473,1,Distance_shift-1
43,180,43.46666666666666,210804167.67863998,345139707.061251,13.1305792414556,687.928239763716,1,Distance_shift-1
44,180,43.86666666666667,210804167.67863998,345139707.061251,13.1305792414556,687.928239763716,1,Distance_shift-1
45,180,44.266666666666666,210804167.67863998,345139707.061251,13.1305792414556,687.928239763716,1,Distance_shift-1
46,181,44.61666666666667,210679867.68538502,344713933.364437,13.298414401817698,688.740227179202,1,Distance_shift-1
47,181,45.0,210679867.68538502,344713933.364437,13.298414401817698,688.740227179202,1,Distance_shift-1
48,181,45.31666666666666,210679867.68538502,344713933.364437,13.298414401817698,688.740227179202,1,Distance_shift-1
49,181,45.666666666666664,210679867.68538502,344713933.364437,13.298414401817698,688.740227179202,1,Distance_shift-1
50,182,45.983333333333334,210557187.44681698,344287177.334198,13.4658738159434,689.543044045034,1,Distance_shift-1
51,182,46.333333333333336,210557187.44681698,344287177.334198,13.4658738159434,689.543044045034,1,Distance_shift-1
52,182,46.63333333333333,210557187.44681698,344287177.334198,13.4658738159434,689.543044045034,1,Distance_shift-1
53,183,46.916666666666664,210436142.832308,343859450.011073,13.632951029236699,690.3365339450661,1,Distance_shift-1
54,183,47.21666666666666,210436142.832308,343859450.011073,13.632951029236699,690.3365339450661,1,Distance_shift-1
55,183,47.483333333333334,210436142.832308,343859450.011073,13.632951029236699,690.3365339450661,1,Distance_shift-1
56,183,47.766666666666666,210436142.832308,343859450.011073,13.632951029236699,690.3365339450661,1,Distance_shift-1
57,184,48.03333333333334,210316749.550097,343430765.89961296,13.7996389474518,691.1205413002251,1,Distance_shift-1
58,184,48.3,210316749.550097,343430765.89961296,13.7996389474518,691.1205413002251,1,Distance_shift-1
59,184,48.55,210316749.550097,343430765.89961296,13.7996389474518,691.1205413002251,1,Distance_shift-1
60,185,48.78333333333334,210199023.143329,343001143.28941,13.965929872713803,691.894911431227,1,Distance_shift-1
61,185,49.03333333333334,210199023.143329,343001143.28941,13.965929872713803,691.894911431227,1,Distance_shift-1
62,185,49.233333333333334,210199023.143329,343001143.28941,13.965929872713803,691.894911431227,1,Distance_shift-1
63,185,49.483333333333334,210199023.143329,343001143.28941,13.965929872713803,691.894911431227,1,Distance_shift-1
64,186,49.68333333333334,210082978.986104,342570604.858316,14.1318155431358,692.659490621652,1,Distance_shift-1
65,186,49.9,210082978.986104,342570604.858316,14.1318155431358,692.659490621652,1,Distance_shift-1
66,186,50.1,210082978.986104,342570604.858316,14.1318155431358,692.659490621652,1,Distance_shift-1
67,187,50.28333333333334,209968632.279547,342139178.524599,14.297287206920199,693.414126181337,1,Distance_shift-1
68,187,50.483333333333334,209968632.279547,342139178.524599,14.297287206920199,693.414126181337,1,Distance_shift-1
69,187,50.65,209968632.279547,342139178.524599,14.297287206920199,693.414126181337,1,Distance_shift-1
70,187,50.85,209968632.279547,342139178.524599,14.297287206920199,693.414126181337,1,Distance_shift-1
71,188,51.0,209855998.047886,341706898.43624103,14.462335757274401,694.1586665100281,1,Distance_shift-1
72,188,51.18333333333334,209855998.047886,341706898.43624103,14.462335757274401,694.1586665100281,1,Distance_shift-1
73,188,51.31666666666666,209855998.047886,341706898.43624103,14.462335757274401,694.1586665100281,1,Distance_shift-1
74,189,51.483333333333334,209745091.134555,341273805.91973996,14.626951944601,694.892961161267,1,Distance_shift-1
75,189,51.63333333333333,209745091.134555,341273805.91973996,14.626951944601,694.892961161267,1,Distance_shift-1
76,189,51.766666666666666,209745091.134555,341273805.91973996,14.626951944601,694.892961161267,1,Distance_shift-1
77,189,51.93333333333334,209745091.134555,341273805.91973996,14.626951944601,694.892961161267,1,Distance_shift-1
78,190,52.03333333333334,209635926.198306,340839950.17546403,14.7911266676339,695.616860906467,1,Distance_shift-1
79,190,52.166666666666664,209635926.198306,340839950.17546403,14.7911266676339,695.616860906467,1,Distance_shift-1
80,190,52.28333333333334,209635926.198306,340839950.17546403,14.7911266676339,695.616860906467,1,Distance_shift-1
81,191,52.4,209528517.709356,340405388.518342,14.9548513284991,696.3302177991051,1,Distance_shift-1
82,191,52.516666666666666,209528517.709356,340405388.518342,14.9548513284991,696.3302177991051,1,Distance_shift-1
83,191,52.61666666666667,209528517.709356,340405388.518342,14.9548513284991,696.3302177991051,1,Distance_shift-1
