ut_ms,description
1219364253000,"MLG_LOS_05_/_RTLT_02373"
1219364356000,"NNO_AOS_00_/_RTLT_02373"
1219365058000,"MLG_LOS_02_/_RTLT_02373"
1219365755000,"NNO_AOS_05_/_RTLT_02373"
1219367159000,"NNO_AOS_10_/_RTLT_02374"
1219368640000,"4000_KM_DESCEND"
1219369280000,"MRB_/_RANGE_06000KM_START"
1219369855000,"OCC_MARS_200KM_START_/_RA_181.68_/_DE_-00.08_/_OMP_(296.35,-46.48)_/_SZA_077"
1219369949000,"OCC_MARS_START_/_RA_181.69_/_DE_-00.08_/_OMP_(299.32,-43.44)_/_SZA_076"
1219369956000,"2000_KM_DESCEND"
1219370016000,"MRB_AOS_00"
1219370500000,"1200_KM_DESCEND"
1219370632000,"MRB_AOS_10"
1219370819000,"800_KM_DESCEND"
1219370902000,"MAR_PENUMBRA_START"
1219370986000,"MAR_UMBRA_START"
1219371075000,"MAR_UMBRA_END"
1219371094000,"MRB_LOS_10"
1219371152000,"MAR_PENUMBRA_END"
1219371317000,"MRB_LOS_00"
1219371583000,"PERICENTRE_PASSAGE_05956_/_SSP_(016.12,030.74)_/_SZA_105"
1219371593000,"OCC_MARS_END_/_RA_181.70_/_DE_-00.08_/_OMP_(355.36,050.22)_/_SZA_082"
1219371742000,"OCC_MARS_200KM_END_/_RA_181.70_/_DE_-00.08_/_OMP_(001.91,054.49)_/_SZA_083"
1219372330000,"800_KM_ASCEND"
1219372654000,"1200_KM_ASCEND"
1219372691000,"MRB_/_RANGE_06000KM_END"
1219373205000,"2000_KM_ASCEND"
1219374123000,"GDS_LOS_10_/_RTLT_02374"
1219374533000,"4000_KM_ASCEND"
1219375305000,"GDS_LOS_06_/_RTLT_02374"
1219375599000,"GDS_LOS_05_/_RTLT_02374"
1219383190000,"BLK_AOS_00_/_RTLT_02374"
1219383205000,"KLZ_AOS_00_/_RTLT_02374"
1219383905000,"APOCENTRE_PASSAGE_05957"
1219385335000,"BLK_AOS_05_/_RTLT_02374"
1219385430000,"KLZ_AOS_05_/_RTLT_02374"
1219387520000,"BLK_AOS_10_/_RTLT_02374"
1219387699000,"KLZ_AOS_10_/_RTLT_02374"
1219393287000,"4000_KM_DESCEND"
1219394251000,"CEB_AOS_03_/_RTLT_02375"
1219394510000,"OCC_MARS_200KM_START_/_RA_181.85_/_DE_-00.15_/_OMP_(196.57,-46.36)_/_SZA_077"
1219394524000,"MRB_/_RANGE_06000KM_START"
1219394603000,"2000_KM_DESCEND"
1219394605000,"OCC_MARS_START_/_RA_181.85_/_DE_-00.15_/_OMP_(199.56,-43.29)_/_SZA_076"
1219394865000,"MAD_AOS_05_/_RTLT_02375"
1219394893000,"CEB_AOS_05_/_RTLT_02375"
1219395147000,"1200_KM_DESCEND"
1219395181000,"MAD_AOS_06_/_RTLT_02375"
1219395465000,"800_KM_DESCEND"
1219395566000,"MAR_PENUMBRA_START"
1219395791000,"MAR_PENUMBRA_END"
1219396230000,"PERICENTRE_PASSAGE_05957_/_SSP_(275.97,030.58)_/_SZA_105"
1219396241000,"OCC_MARS_END_/_RA_181.86_/_DE_-00.16_/_OMP_(255.19,050.04)_/_SZA_081"
