ut_ms,description
1397434723000,"OCC_MARS_200KM_START_/_RA_196.35_/_DE_-04.46_/_OMP_(114.82,064.41)_/_SZA_088"
1397434786000,"OCC_MARS_START_/_RA_196.35_/_DE_-04.46_/_OMP_(113.54,064.15)_/_SZA_088"
1397434814000,"2000_KM_DESCEND"
1397434824000,"MAR_PENUMBRA_START"
1397434832000,"MAR_UMBRA_START"
1397435352000,"1200_KM_DESCEND"
1397435668000,"800_KM_DESCEND"
1397435830000,"MSL_LOS_10"
1397435887000,"MSL_LOS_04"
1397436280000,"MRB_/_RANGE_06000KM_START"
1397436440000,"PERICENTRE_PASSAGE_13061_/_SSP_(139.37,-66.51)_/_SZA_136"
1397436740000,"OCC_MARS_END_/_RA_196.34_/_DE_-04.47_/_OMP_(311.53,-67.81)_/_SZA_091"
1397436746000,"MAR_UMBRA_END"
1397436750000,"MAR_PENUMBRA_END"
1397436831000,"OCC_MARS_200KM_END_/_RA_196.34_/_DE_-04.47_/_OMP_(309.21,-67.71)_/_SZA_091"
1397437157000,"MSL_/_RANGE_06000KM_END"
1397437198000,"800_KM_ASCEND"
1397437518000,"1200_KM_ASCEND"
1397438063000,"2000_KM_ASCEND"
1397438334000,"MRB_AOS_00"
1397438408000,"KLZ_LOS_10_/_RTLT_00616"
1397438662000,"BLK_LOS_10_/_RTLT_00616"
1397439317000,"MRB_/_RANGE_06000KM_END"
1397439369000,"4000_KM_ASCEND"
1397440772000,"KLZ_LOS_05_/_RTLT_00616"
1397440929000,"BLK_LOS_05_/_RTLT_00616"
1397440949000,"GDS_AOS_05_/_RTLT_00616"
1397441245000,"GDS_AOS_06_/_RTLT_00616"
1397442442000,"GDS_AOS_10_/_RTLT_00616"
1397443038000,"KLZ_LOS_00_/_RTLT_00616"
1397443111000,"BLK_LOS_00_/_RTLT_00616"
1397443164000,"MRB_LOS_00"
1397449016000,"APOCENTRE_PASSAGE_13062"
1397450690000,"MAD_LOS_10_/_RTLT_00616"
1397450715000,"CEB_LOS_10_/_RTLT_00616"
1397451059000,"MAD_LOS_09_/_RTLT_00616"
1397452284000,"CEB_LOS_05_/_RTLT_00616"
1397452300000,"MAD_LOS_05_/_RTLT_00616"
1397452326000,"CEB_LOS_05_/_RTLT_00616"
1397458349000,"MRB_AOS_00"
1397458671000,"4000_KM_DESCEND"
1397458900000,"MRB_/_RANGE_06000KM_START"
1397459881000,"OCC_MARS_200KM_START_/_RA_196.24_/_DE_-04.43_/_OMP_(012.92,064.47)_/_SZA_088"
1397459944000,"OCC_MARS_START_/_RA_196.24_/_DE_-04.43_/_OMP_(011.66,064.21)_/_SZA_088"
1397459967000,"2000_KM_DESCEND"
1397459982000,"MAR_PENUMBRA_START"
1397459990000,"MAR_UMBRA_START"
1397460505000,"1200_KM_DESCEND"
1397460607000,"MRB_LOS_00"
1397460715000,"MSL_/_RANGE_06000KM_START"
1397460821000,"800_KM_DESCEND"
1397461594000,"PERICENTRE_PASSAGE_13062_/_SSP_(037.14,-66.34)_/_SZA_136"
1397461896000,"OCC_MARS_END_/_RA_196.23_/_DE_-04.43_/_OMP_(209.25,-67.78)_/_SZA_091"
1397461902000,"MAR_UMBRA_END"
1397461906000,"MAR_PENUMBRA_END"
1397461911000,"CAN_AOS_05_/_RTLT_00616"
1397461987000,"OCC_MARS_200KM_END_/_RA_196.23_/_DE_-04.43_/_OMP_(206.96,-67.67)_/_SZA_091"
1397462290000,"MRB_/_RANGE_06000KM_END"
1397462352000,"800_KM_ASCEND"
1397462672000,"1200_KM_ASCEND"
1397463011000,"CAN_AOS_09_/_RTLT_00616"
1397463216000,"2000_KM_ASCEND"
1397463378000,"CAN_AOS_10_/_RTLT_00616"
1397464146000,"MSL_/_RANGE_06000KM_END"
1397464500000,"MSL_AOS_02"
1397464522000,"4000_KM_ASCEND"
1397465931000,"MSL_AOS_10"
1397468211000,"MLG_LOS_10_/_RTLT_00616"
1397468400000,"NNO_AOS_00_/_RTLT_00616"
1397469684000,"MLG_LOS_05_/_RTLT_00616"
1397469800000,"NNO_AOS_05_/_RTLT_00616"
1397470200000,"MLG_LOS_03_/_RTLT_00616"
1397471196000,"NNO_AOS_10_/_RTLT_00616"
1397471471000,"MSL_LOS_10"
1397473454000,"MSL_LOS_05"
1397474171000,"APOCENTRE_PASSAGE_13063"
1397478004000,"GDS_LOS_10_/_RTLT_00616"
1397479201000,"GDS_LOS_06_/_RTLT_00616"
1397479498000,"GDS_LOS_05_/_RTLT_00616"
1397481201000,"MLG_OPP_END_SSCE_5"
1397481413000,"KOU_OPP_END_SSCE_5"
1397481441000,"GDS_OPP_END_SSCE_5"
1397481448000,"CAN_OPP_END_SSCE_5"
1397481610000,"NNO_OPP_END_SSCE_5"
1397481816000,"CEB_OPP_END_SSCE_5"
1397481817000,"MAD_OPP_END_SSCE_5"
1397483830000,"4000_KM_DESCEND"
1397484408000,"MRB_/_RANGE_06000KM_START"
1397485043000,"OCC_MARS_200KM_START_/_RA_196.14_/_DE_-04.40_/_OMP_(270.94,064.51)_/_SZA_088"
1397485106000,"OCC_MARS_START_/_RA_196.14_/_DE_-04.40_/_OMP_(269.69,064.27)_/_SZA_088"
1397485126000,"2000_KM_DESCEND"
1397485145000,"MAR_PENUMBRA_START"
1397485152000,"MAR_UMBRA_START"
1397485663000,"1200_KM_DESCEND"
1397485979000,"800_KM_DESCEND"
1397486619000,"MSL_/_RANGE_06000KM_START"
1397486752000,"PERICENTRE_PASSAGE_13063_/_SSP_(294.87,-66.17)_/_SZA_136"
1397487057000,"OCC_MARS_END_/_RA_196.13_/_DE_-04.40_/_OMP_(106.97,-67.74)_/_SZA_091"
1397487062000,"MAR_UMBRA_END"
1397487066000,"MAR_PENUMBRA_END"
1397487148000,"OCC_MARS_200KM_END_/_RA_196.12_/_DE_-04.40_/_OMP_(104.72,-67.65)_/_SZA_091"
1397487510000,"800_KM_ASCEND"
1397487802000,"MRB_/_RANGE_06000KM_END"
1397487830000,"1200_KM_ASCEND"
1397488265000,"MSL_AOS_03"
1397488374000,"2000_KM_ASCEND"
1397488512000,"MSL_AOS_10"
1397489342000,"BLK_AOS_00_/_RTLT_00616"
1397489438000,"KLZ_AOS_00_/_RTLT_00616"
1397489680000,"4000_KM_ASCEND"
1397490085000,"MSL_/_RANGE_06000KM_END"
1397491519000,"BLK_AOS_05_/_RTLT_00616"
1397491700000,"KLZ_AOS_05_/_RTLT_00616"
1397493097000,"MSL_LOS_10"
1397493781000,"BLK_AOS_10_/_RTLT_00616"
1397494058000,"KLZ_AOS_10_/_RTLT_00616"
1397494383000,"MSL_LOS_04"
1397499326000,"APOCENTRE_PASSAGE_13064"
1397499621000,"CEB_AOS_03_/_RTLT_00616"
1397500345000,"MAD_AOS_05_/_RTLT_00616"
1397500374000,"CEB_AOS_05_/_RTLT_00616"
1397500665000,"MAD_AOS_06_/_RTLT_00616"
1397501954000,"MAD_AOS_10_/_RTLT_00616"
1397501983000,"CEB_AOS_10_/_RTLT_00616"
1397502068000,"CAN_LOS_10_/_RTLT_00616"
1397503241000,"CAN_LOS_06_/_RTLT_00616"
1397503534000,"CAN_LOS_05_/_RTLT_00616"
1397508981000,"4000_KM_DESCEND"
1397509528000,"MSL_/_RANGE_06000KM_START"
1397509933000,"NNO_LOS_10_/_RTLT_00616"
1397510199000,"OCC_MARS_200KM_START_/_RA_196.03_/_DE_-04.37_/_OMP_(169.04,064.57)_/_SZA_088"
1397510262000,"OCC_MARS_START_/_RA_196.03_/_DE_-04.37_/_OMP_(167.80,064.33)_/_SZA_088"
1397510278000,"2000_KM_DESCEND"
1397510301000,"MAR_PENUMBRA_START"
1397510309000,"MAR_UMBRA_START"
1397510816000,"1200_KM_DESCEND"
1397511132000,"800_KM_DESCEND"
1397511242000,"NNO_LOS_05_/_RTLT_00616"
1397511329000,"NNO_LOS_05_/_RTLT_00616"
1397511835000,"MRB_/_RANGE_06000KM_START"
1397511904000,"PERICENTRE_PASSAGE_13064_/_SSP_(192.65,-65.98)_/_SZA_136"
1397512211000,"OCC_MARS_END_/_RA_196.02_/_DE_-04.37_/_OMP_(004.68,-67.71)_/_SZA_091"
1397512215000,"MAR_UMBRA_END"
1397512220000,"MAR_PENUMBRA_END"
1397512302000,"OCC_MARS_200KM_END_/_RA_196.02_/_DE_-04.37_/_OMP_(002.47,-67.62)_/_SZA_091"
1397512661000,"800_KM_ASCEND"
1397512682000,"MSL_/_RANGE_06000KM_END"
1397512764000,"MLG_AOS_00_/_RTLT_00616"
