ut_ms,sunmars_km,earthmars_km,sunmarsearthangle_deg,solarconstantmars,eclipseduration_min,occultationduration_min
1219363200000,241938908.363002,355756044.048925,19.5650758165222,522.263999026823,4.16666666666667,27.4
1219449600000,241800159.82512,356303701.299971,19.3900749648847,522.863536732556,1.78333333333333,26.9333333333333
1219536000000,241660298.976336,356843151.495015,19.2147343649455,523.468926197049,0,26.5833333333333
1219622400000,241519333.695108,357374355.342686,19.0390523929577,524.080160732136,0,26.1
1219708800000,241377271.952611,357897265.710581,18.8630292247608,524.697233328856,0,25.75
1219795200000,241234121.813101,358411830.797199,18.6866671679489,525.320136649074,0,25.25
1219881600000,241089891.434286,358917997.988541,18.5099708365253,525.948863016975,0,24.8833333333333
1219968000000,240944589.067687,359415718.063857,18.3329471203306,526.583404410461,0,24.4
1220054400000,240798223.059001,359904949.220077,18.1556049255903,527.223752452419,0,24.0333333333333
1220140800000,240650801.84846,360385660.294686,17.9779547096821,527.869898401886,0,23.5166666666667
1220227200000,240502333.971184,360857832.686264,17.8000078858576,528.521833145091,0,23.1333333333333
1220313600000,240352828.057533,361321460.789867,17.6217762057389,529.179547186394,0,22.6333333333333
1220400000000,240202292.833458,361776551.142457,17.4432712218673,529.843030639093,0,22.2166666666667
1220486400000,240050737.120841,362223120.740804,17.2645038943057,530.512273216132,0,21.7
1220572800000,239898169.837843,362661195.062721,17.0854843555731,531.187264220678,0,21.2833333333333
1220659200000,239744599.999235,363090806.221084,16.9062218083242,531.867992536591,0,20.7333333333333
1220745600000,239590036.71674,363511991.500407,16.7267245098316,532.554446618765,0,20.3166666666667
1220832000000,239434489.199359,363924792.350569,16.5469997944732,533.246614483363,0,19.7333333333333
1220918400000,239277966.753699,364329253.781114,16.3670540929443,533.944483697914,0,19.3333333333333
1221004800000,239120478.784301,364725424.014355,16.1868929184884,534.648041371308,0,18.7166666666667
1221091200000,238962034.793957,365113354.201828,16.0065208031335,535.35727414366,0,18.2833333333333
1221177600000,238802644.384026,365493097.974881,15.8259411807764,536.072168176053,0,17.65
1221264000000,238642317.254751,365864710.58857,15.6451562304519,536.79270914016,0,17.1833333333333
1221350400000,238481063.205565,366228247.447838,15.4641667128236,537.518882207749,0,16.5166666666667
1221436800000,238318892.135399,366583761.905635,15.2829718530326,538.250672040062,0,16.0333333333333
1221523200000,238155814.042978,366931302.411465,15.1015693357679,538.988062777068,0,15.3333333333333
1221609600000,237991839.027123,367270909.339951,14.9199554727911,539.731038026611,0,14.7833333333333
1221696000000,237826977.28704,367602612.053425,14.7381255718024,540.479580853417,0,14.0666666666667
1221782400000,237661239.122609,367926426.828079,14.5560744837489,541.233673767997,0,13.4666666666667
1221868800000,237494634.934662,368242356.125645,14.3737972537609,541.993298715425,0,12.6666666666667
1221955200000,237327175.225266,368550389.369493,14.1912897734784,542.758437063998,0,12
1222041600000,237158870.597989,368850505.0385,14.0085493410158,543.529069593784,0,11.1
1222128000000,236989731.758168,369142673.675801,13.8255750694027,544.305176485047,0,10.3666666666667
1222214400000,236819769.513166,369426861.371609,13.6423681232099,545.086737306574,0,9.3
1222300800000,236648994.772622,369703033.358904,13.4589317890915,545.873731003875,0,8.43333333333333
1222387200000,236477418.548699,369971157.457756,13.2752713959306,546.666135887293,0,7.08333333333333
1222473600000,236305051.956314,370231207.155872,13.0913941021075,547.463929619996,0,5.91666666666667
1222560000000,236131906.213368,370483164.122284,12.907308571166,548.267089205881,0,3.85
1222646400000,235957992.640962,370727019.965505,12.7230245672197,549.075590977379,0,0
1222732800000,235783322.663597,370962777.113678,12.5385525141307,549.889410583179,0,0
1222819200000,235607907.809372,371190448.819776,12.3539030695352,550.708522975864,0,0
1222905600000,235431759.710155,371410058.441525,12.1690867598275,551.532902399487,0,0
1222992000000,235254890.101746,371621638.256268,11.9841137053715,552.362522377083,0,0
1223078400000,235077310.824017,371825228.107074,11.7989934426591,553.197355698134,0,0
1223164800000,234899033.821032,372020874.137215,11.6137348296283,554.037374406006,0,0
1223251200000,234720071.141144,372208627.783324,11.4283460069303,554.882549785361,0,0
1223337600000,234540434.937061,372388545.09614,11.242834382445,555.732852349571,0,0
1223424000000,234360137.465886,372560686.362924,11.0572066069953,556.588251828139,0,0
1223510400000,234179191.08913,372725115.922524,10.871468513817,557.448717154142,0,0
1223596800000,233997608.272687,372881901.987969,10.6856250021982,558.314216451693,0,0
1223683200000,233815401.58679,373031116.220254,10.499679858176,559.184717023428,0,0
1223769600000,233632583.705929,373172832.743889,10.3136355250302,560.060185337999,0,0
1223856000000,233449167.408761,373307126.30002,10.1274928651995,560.940587017541,0,0
1223942400000,233265165.578004,373434069.359957,9.94125098916998,561.825886825095,0,0
1224028800000,233080591.200334,373553728.321894,9.75490725142954,562.716048651908,0,0
1224115200000,232895457.366284,373666159.350277,9.56845750535629,563.611035504604,0,0
1224201600000,232709777.270176,373771404.806832,9.38189665015878,564.510809492117,0,0
1224288000000,232523564.210069,373869491.290605,9.19521940509621,565.415331812417,0,0
1224374400000,232336831.587751,373960429.90139,9.00842115702524,566.324562738957,0,0
1224460800000,232149592.908745,374044218.631113,8.82149870124017,567.238461606887,0,0
1224547200000,231961861.782356,374120846.167453,8.63445074707338,568.156986799048,0,0
1224633600000,231773651.921711,374190296.172231,8.44727815120419,569.080095731801,0,0
1224720000000,231584977.143808,374252551.277092,8.25998391892538,570.007744840792,0,0
1224806400000,231395851.369544,374307596.398497,8.07257304745923,570.939889566686,0,0
1224892800000,231206288.62371,374355421.286015,7.88505228051799,571.87648434097,0,0
1224979200000,231016303.034951,374396022.381797,7.69742982083661,572.817482571852,0,0
1225065600000,230825908.83567,374429404.101519,7.50971502602098,573.762836630334,0,0
1225152000000,230635120.361892,374455579.614456,7.32191810132815,574.712497836442,0,0
1225238400000,230443952.053067,374474571.164839,7.13404980068242,575.666416445653,0,0
1225324800000,230252418.451833,374486409.971621,6.9461211495088,576.624541635489,0,0
1225411200000,230060534.203727,374491135.771393,6.75814320442812,577.586821492297,0,0
1225497600000,229868314.056858,374488796.110824,6.57012686216747,578.553202998182,0,0
1225584000000,229675772.861546,374479445.526285,6.38208272291954,579.523632018081,0,0
1225670400000,229482925.569919,374463144.752774,6.19402100385323,580.498053286986,0,0
1225756800000,229289787.235487,374439960.078484,6.00595148923217,581.476410397291,0,0
1225843200000,229096373.012684,374409962.911114,5.81788349660592,582.458645786261,0,0
1225929600000,228902698.156382,374373229.555074,5.62982583465698,583.444700723631,0,0
1226016000000,228708778.021383,374329841.118465,5.44178672792345,584.434515299327,0,0
1226102400000,228514628.061884,374279883.374634,5.25377368787016,585.428028411324,0,0
1226188800000,228320263.830914,374223446.298261,5.06579332157668,586.425177753633,0,0
1226275200000,228125700.97975,374160622.903211,4.87785109310957,587.425899804443,0,0
1226361600000,227930955.257306,374091506.9905,4.68995109177894,588.430129814422,0,0
1226448000000,227736042.509496,374016189.572837,4.50209591083302,589.43780179517,0,0
1226534400000,227540978.678567,373934754.168168,4.31428677745623,590.448848507872,0,0
1226620800000,227345779.802412,373847271.795605,4.12652406150634,591.46320145213,0,0
1226707200000,227150462.013844,373753797.048311,3.9388081976286,592.480790855001,0,0
1226793600000,226955041.539855,373654366.59729,3.75114090846287,593.501545660256,0,0
1226880000000,226759534.700833,373549000.706137,3.56352650442435,594.525393517869,0,0
1226966400000,226563957.909752,373437707.208346,3.37597304447493,595.552260773747,0,0
1227052800000,226368327.671338,373320486.628723,3.18849327271044,596.582072459727,0,0
1227139200000,226172660.581192,373197337.104496,3.00110541396373,597.614752283836,0,0
1227225600000,225976973.324891,373068258.282616,2.81383403683318,598.650222620845,0,0
1227312000000,225781282.677048,372933253.983287,2.62671126029269,599.688404503125,0,0
1227398400000,225585605.500339,372792333.820279,2.43977863504372,600.729217611811,0,0
1227484800000,225389958.744503,372645514.105547,2.25309014077738,601.77258026831,0,0
1227571200000,225194359.445298,372492818.329269,2.06671698566305,602.818409426139,0,0
1227657600000,224998824.723426,372334277.402903,1.88075539895584,603.866620663144,0,0
1227744000000,224803371.783419,372169929.752361,1.69533962445585,604.917128174078,0,0
1227830400000,224608017.912492,371999821.282763,1.51066443082022,605.969844763579,0,0
1227916800000,224412780.479352,371824005.212341,1.32702607494527,607.024681839554,0,0
1228003200000,224217676.932977,371642541.782526,1.14490153019426,608.081549406993,0,0
1228089600000,224022724.80135,371455497.878061,0.965113657828018,609.140356062205,0,0
1228176000000,223827941.690159,371262946.616861,0.7892087133951379,610.201008987528,0,0
1228262400000,223633345.281452,371064966.97941,0.620419194172889,611.263413946495,0,0
1228348800000,223438953.332257,370861643.532772,0.46641305579781606,612.327475279492,0,0
1228435200000,223244783.673162,370653066.26092,0.347258638471075,613.393095899917,0,0
1228521600000,223050854.206849,370439330.440033,0.30647170266885,614.460177290857,0,0
1228608000000,222857182.906594,370220536.394998,0.370678401736758,615.528619502296,0,0
1228694400000,222663787.814723,369996788.849931,0.50086470764327,616.598321148875,0,0
1228780800000,222470687.041024,369768195.473843,0.658902711439399,617.669179408214,0,0
1228867200000,222277898.761121,369534864.202069,0.828916057755899,618.741090019818,0,0
1228953600000,222085441.214804,369296899.113457,1.00476492381205,619.81394728458,0,0
1229040000000,221893332.704321,369054395.16803,1.18378691642637,620.887644064894,0,0
1229126400000,221701591.592621,368807432.869458,1.36468104834421,621.962071785397,0,0
1229212800000,221510236.301558,368556074.485257,1.54674714154062,623.037120434361,0,0
1229299200000,221319285.310055,368300363.268553,1.72957835132178,624.112678565738,0,0
1229385600000,221128757.15222,368040326.045663,1.91292274500657,625.188633301883,0,0
1229472000000,220938670.415421,367775978.195472,2.09661530497951,626.264870336977,0,0
1229558400000,220749043.738322,367507329.336123,2.28054222271161,627.341273941143,0,0
1229644800000,220559895.808868,367234388.261274,2.46462118317297,628.417726965294,0,0
1229731200000,220371245.362236,366957166.422911,2.64879002658334,629.494110846722,0,0
1229817600000,220183111.178734,366675679.963606,2.83299997701883,630.570305615424,0,0
1229904000000,219995512.081666,366389950.675881,3.01721144097103,631.646189901217,0,0
1229990400000,219808466.935143,366100006.336724,3.20139130002281,632.721640941619,0,0
1230076800000,219621994.641863,365805880.773104,3.38551110694047,633.796534590535,0,0
1230163200000,219436114.140836,365507613.876986,3.56954585457712,634.870745327757,0,0
1230249600000,219250844.405078,365205251.666169,3.75347312742724,635.944146269287,0,0
1230336000000,219066204.439247,364898846.400482,3.93727252142621,637.016609178511,0,0
1230422400000,218882213.277246,364588456.714127,4.1209252581745,638.08800447823,0,0
1230508800000,218698889.979779,364274147.710467,4.30441394152349,639.158201263574,0,0
1230595200000,218516253.631856,363955990.978072,4.48772241719335,640.227067315819,0,0
1230681600000,218334323.340255,363634064.514632,4.6708357056125,641.29446911712,0,0
1230768000000,218153118.230932,363308452.573179,4.85373998772765,642.360271866207,0,0
1230854400000,217972657.446384,362979245.456466,5.03642263401612,643.424339495042,0,0
1230940800000,217792960.142945,362646539.266747,5.21887227734929,644.486534686505,0,0
1231027200000,217614045.488042,362310435.561572,5.40107893828733,645.546718893105,0,0
