,Unnamed: 0,eclipse_day,duration,time_eclipse_end,sunmars_km,earthmars_km,sunmarsearthangle_deg,solarconstantmars,dist_shift,year
0,0,1,4.166666666666667,2008-08-22 02:12:32,241938908.363002,355756044.048925,19.5650758165222,522.263999026823,1,1
1,1,1,3.75,2008-08-22 09:03:11,241938908.363002,355756044.048925,19.5650758165222,522.263999026823,1,1
2,2,1,3.15,2008-08-22 15:53:37,241938908.363002,355756044.048925,19.5650758165222,522.263999026823,1,1
3,3,1,2.8,2008-08-22 22:44:10,241938908.363002,355756044.048925,19.5650758165222,522.263999026823,1,1
4,4,2,1.7833333333333332,2008-08-23 05:34:24,241800159.82512003,356303701.299971,19.390074964884697,522.863536732556,1,1
5,5,2,0.5,2008-08-23 12:24:30,241800159.82512003,356303701.299971,19.390074964884697,522.863536732556,1,1
6,6,169,7.833333333333332,2009-02-06 12:34:47,212273683.425493,349757256.168162,11.2603720037698,678.436510112653,1,1
7,7,169,11.216666666666667,2009-02-06 19:30:04,212273683.425493,349757256.168162,11.2603720037698,678.436510112653,1,1
8,8,170,13.95,2009-02-07 02:25:06,212132655.60993895,349342674.16368103,11.4322412535087,679.338872105923,1,1
9,9,170,15.966666666666667,2009-02-07 09:19:41,212132655.60993895,349342674.16368103,11.4322412535087,679.338872105923,1,1
10,10,170,17.833333333333332,2009-02-07 16:14:16,212132655.60993895,349342674.16368103,11.4322412535087,679.338872105923,1,1
11,11,170,19.366666666666667,2009-02-07 23:08:39,212132655.60993895,349342674.16368103,11.4322412535087,679.338872105923,1,1
12,12,171,20.933333333333334,2009-02-08 06:03:04,211993063.489705,348926955.285713,11.6037251055969,680.233821909078,1,1
13,13,171,22.3,2009-02-08 12:57:25,211993063.489705,348926955.285713,11.6037251055969,680.233821909078,1,1
14,14,171,23.58333333333333,2009-02-08 19:51:41,211993063.489705,348926955.285713,11.6037251055969,680.233821909078,1,1
15,15,172,24.85,2009-02-09 02:46:00,211854924.443803,348510161.308292,11.7748300126283,681.121197897393,1,1
16,16,172,25.9,2009-02-09 09:40:07,211854924.443803,348510161.308292,11.7748300126283,681.121197897393,1,1
17,17,172,26.98333333333333,2009-02-09 16:34:21,211854924.443803,348510161.308292,11.7748300126283,681.121197897393,1,1
18,18,172,27.93333333333333,2009-02-09 23:28:26,211854924.443803,348510161.308292,11.7748300126283,681.121197897393,1,1
19,19,173,28.91666666666667,2009-02-10 06:22:35,211718255.733916,348092336.122825,11.9455627839154,682.000838627612,1,1
20,20,173,29.83333333333333,2009-02-10 13:16:41,211718255.733916,348092336.122825,11.9455627839154,682.000838627612,1,1
21,21,173,30.68333333333333,2009-02-10 20:10:45,211718255.733916,348092336.122825,11.9455627839154,682.000838627612,1,1
22,22,174,31.55,2009-02-11 03:04:52,211583074.500427,347673506.469234,12.1159296127171,682.872582894322,1,1
23,23,174,32.31666666666667,2009-02-11 09:58:52,211583074.500427,347673506.469234,12.1159296127171,682.872582894322,1,1
24,24,174,33.083333333333336,2009-02-11 16:52:58,211583074.500427,347673506.469234,12.1159296127171,682.872582894322,1,1
