,ut_ms_x,description,round_time,duration,ut_ms_y,sunmars_km,earthmars_km,sunmarsearthangle_deg,solarconstantmars,eclipseduration_min,occultationduration_min,season,group
0,1219371152000,MAR_PENUMBRA_END,1,4.166666666666667,1219363200000,241938908.363002,355756044.048925,19.5650758165222,522.263999026823,4.16666666666667,27.4,1,Distance_shift-1
1,1219395791000,MAR_PENUMBRA_END,1,3.75,1219363200000,241938908.363002,355756044.048925,19.5650758165222,522.263999026823,4.16666666666667,27.4,1,Distance_shift-1
2,1219420417000,MAR_PENUMBRA_END,1,3.15,1219363200000,241938908.363002,355756044.048925,19.5650758165222,522.263999026823,4.16666666666667,27.4,1,Distance_shift-1
3,1219445050000,MAR_PENUMBRA_END,1,2.8,1219363200000,241938908.363002,355756044.048925,19.5650758165222,522.263999026823,4.16666666666667,27.4,1,Distance_shift-1
4,1219469664000,MAR_PENUMBRA_END,2,1.7833333333333332,1219449600000,241800159.82512003,356303701.299971,19.390074964884697,522.863536732556,1.78333333333333,26.9333333333333,1,Distance_shift-1
5,1219494270000,MAR_PENUMBRA_END,2,0.5,1219449600000,241800159.82512003,356303701.299971,19.390074964884697,522.863536732556,1.78333333333333,26.9333333333333,1,Distance_shift-1
6,1233923687000,MAR_PENUMBRA_END,169,7.833333333333333,1233878400000,212273683.425493,349757256.168162,11.2603720037698,678.436510112653,11.216666666666699,51.8166666666667,1,Distance_shift-1
7,1233948604000,MAR_PENUMBRA_END,169,11.216666666666667,1233878400000,212273683.425493,349757256.168162,11.2603720037698,678.436510112653,11.216666666666699,51.8166666666667,1,Distance_shift-1
8,1233973506000,MAR_PENUMBRA_END,170,13.95,1233964800000,212132655.60993898,349342674.16368103,11.4322412535087,679.338872105923,19.3666666666667,53.6,1,Distance_shift-1
9,1233998381000,MAR_PENUMBRA_END,170,15.966666666666667,1233964800000,212132655.60993898,349342674.16368103,11.4322412535087,679.338872105923,19.3666666666667,53.6,1,Distance_shift-1
10,1234023256000,MAR_PENUMBRA_END,170,17.833333333333332,1233964800000,212132655.60993898,349342674.16368103,11.4322412535087,679.338872105923,19.3666666666667,53.6,1,Distance_shift-1
11,1234048119000,MAR_PENUMBRA_END,170,19.366666666666667,1233964800000,212132655.60993898,349342674.16368103,11.4322412535087,679.338872105923,19.3666666666667,53.6,1,Distance_shift-1
12,1234072984000,MAR_PENUMBRA_END,171,20.933333333333334,1234051200000,211993063.489705,348926955.285713,11.6037251055969,680.233821909078,23.5833333333333,54.75,1,Distance_shift-1
13,1234097845000,MAR_PENUMBRA_END,171,22.3,1234051200000,211993063.489705,348926955.285713,11.6037251055969,680.233821909078,23.5833333333333,54.75,1,Distance_shift-1
14,1234122701000,MAR_PENUMBRA_END,171,23.583333333333332,1234051200000,211993063.489705,348926955.285713,11.6037251055969,680.233821909078,23.5833333333333,54.75,1,Distance_shift-1
15,1234147560000,MAR_PENUMBRA_END,172,24.85,1234137600000,211854924.443803,348510161.308292,11.7748300126283,681.121197897393,27.9333333333333,56.133333333333304,1,Distance_shift-1
16,1234172407000,MAR_PENUMBRA_END,172,25.9,1234137600000,211854924.443803,348510161.308292,11.7748300126283,681.121197897393,27.9333333333333,56.133333333333304,1,Distance_shift-1
17,1234197261000,MAR_PENUMBRA_END,172,26.98333333333333,1234137600000,211854924.443803,348510161.308292,11.7748300126283,681.121197897393,27.9333333333333,56.133333333333304,1,Distance_shift-1
18,1234222106000,MAR_PENUMBRA_END,172,27.933333333333334,1234137600000,211854924.443803,348510161.308292,11.7748300126283,681.121197897393,27.9333333333333,56.133333333333304,1,Distance_shift-1
19,1234246955000,MAR_PENUMBRA_END,173,28.916666666666668,1234224000000,211718255.73391598,348092336.122825,11.9455627839154,682.000838627612,30.6833333333333,57.0,1,Distance_shift-1
20,1234271801000,MAR_PENUMBRA_END,173,29.833333333333332,1234224000000,211718255.73391598,348092336.122825,11.9455627839154,682.000838627612,30.6833333333333,57.0,1,Distance_shift-1
21,1234296645000,MAR_PENUMBRA_END,173,30.683333333333334,1234224000000,211718255.73391598,348092336.122825,11.9455627839154,682.000838627612,30.6833333333333,57.0,1,Distance_shift-1
22,1234321492000,MAR_PENUMBRA_END,174,31.55,1234310400000,211583074.500427,347673506.469234,12.1159296127171,682.872582894322,33.8,58.05,1,Distance_shift-1
23,1234346332000,MAR_PENUMBRA_END,174,32.31666666666667,1234310400000,211583074.500427,347673506.469234,12.1159296127171,682.872582894322,33.8,58.05,1,Distance_shift-1
