ut_ms,description
1278720876000,"MRB_AOS_00"
1278723026000,"CAN_AOS_05_/_RTLT_01852"
1278724529000,"CAN_AOS_10_/_RTLT_01852"
1278724531000,"CAN_AOS_10_/_RTLT_01852"
1278725874000,"MLG_LOS_10_/_RTLT_01852"
1278727387000,"MLG_LOS_05_/_RTLT_01852"
1278727633000,"APOCENTRE_PASSAGE_08345"
1278728249000,"MLG_LOS_02_/_RTLT_01852"
1278729288000,"MRB_LOS_00"
1278729357000,"NNO_AOS_00_/_RTLT_01853"
1278730666000,"NNO_AOS_05_/_RTLT_01853"
1278732091000,"NNO_AOS_10_/_RTLT_01853"
1278737296000,"4000_KM_DESCEND"
1278738606000,"2000_KM_DESCEND"
1278738811000,"MRB_/_RANGE_06000KM_START"
1278739150000,"1200_KM_DESCEND"
1278739163000,"GDS_LOS_10_/_RTLT_01853"
1278739468000,"800_KM_DESCEND"
1278739510000,"OCC_MARS_200KM_START_/_RA_169.34_/_DE_005.41_/_OMP_(354.79,-54.16)_/_SZA_077"
1278739689000,"OCC_MARS_START_/_RA_169.34_/_DE_005.41_/_OMP_(006.29,-45.83)_/_SZA_072"
1278740218000,"PERICENTRE_PASSAGE_08345_/_SSP_(055.07,-23.87)_/_SZA_086"
1278740339000,"GDS_LOS_06_/_RTLT_01853"
1278740387000,"OCC_MARS_END_/_RA_169.35_/_DE_005.41_/_OMP_(032.20,-02.43)_/_SZA_057"
1278740581000,"OCC_MARS_200KM_END_/_RA_169.35_/_DE_005.41_/_OMP_(036.84,008.69)_/_SZA_057"
1278740632000,"GDS_LOS_05_/_RTLT_01853"
1278740984000,"800_KM_ASCEND"
1278741298000,"1200_KM_ASCEND"
1278741835000,"2000_KM_ASCEND"
1278742013000,"MRB_/_RANGE_06000KM_END"
1278743136000,"4000_KM_ASCEND"
1278745241000,"KLZ_AOS_00_/_RTLT_01854"
1278745330000,"BLK_AOS_00_/_RTLT_01854"
1278747472000,"KLZ_AOS_05_/_RTLT_01854"
1278747481000,"BLK_AOS_05_/_RTLT_01854"
1278749621000,"BLK_AOS_10_/_RTLT_01854"
1278749691000,"KLZ_AOS_10_/_RTLT_01854"
1278752809000,"APOCENTRE_PASSAGE_08346"
1278757002000,"CEB_AOS_02_/_RTLT_01855"
